Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
13,tt0116695,2012-03-01,2012-03-06,"""Show me the money,"" ""You had me at hello,"" ""You complete me,"" this movie was the ultimate in 90s quotes.",Jerry Maguire,https://www.imdb.com/title/tt0116695/,movie,7.3,139,1996,"Comedy, Drama, Romance, Sport",219962,1996-12-06,Cameron Crowe
14,tt0120737,2012-03-01,2012-03-06,"The score, the costumes, ""You shall not pass,"" the sets, ""You have my sword...,"" the Rivendel scene between Aragorn and Arwen, and the introduction of the Ring of Power to modern audiences.",The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/,movie,8.8,178,2001,"Adventure, Drama, Fantasy",1483149,2001-12-10,Peter Jackson
15,tt0054215,2012-03-01,2012-03-06,"The score, ""A boy's best friends is his mother,"" the shower scene, the Bates Motel, ""We all go a little mad sometimes,"" and the terror of suspense.",Psycho,https://www.imdb.com/title/tt0054215/,movie,8.5,109,1960,"Horror, Mystery, Thriller",527164,1960-06-16,Alfred Hitchcock
16,tt0047296,2012-03-01,2012-03-06,"""I coulda been a contender!""",On the Waterfront,https://www.imdb.com/title/tt0047296/,movie,8.2,108,1954,"Crime, Drama, Thriller",126977,1954-06-22,Elia Kazan
17,tt0066026,2012-03-01,2012-03-06,"This famous comedy not only spawned one of America's greatest television shows, but gave some iconic quotes on its own.",MASH,https://www.imdb.com/title/tt0066026/,movie,7.6,116,1970,"Comedy, Drama, War",62757,1970-01-25,Robert Altman
18,tt0083866,2012-03-01,2012-03-06,"The score, the classic touch, ""ET phone home,"" Drew Barrymore's scream, Reese's Pieces, ""I'll be right here,"" the dying plant, the alien itself, the bikes flying in front of the moon, and the communication device.",E.T. the Extra-Terrestrial,https://www.imdb.com/title/tt0083866/,movie,7.9,115,1982,"Family, Sci-Fi",332423,1982-05-26,Steven Spielberg
19,tt0015864,2012-03-01,2012-03-06,The house teetering on the edge of a cliff and Chaplin imagining his housemate as a ham are two images that have been so firmly engrained in the American pop culture that nobody could imagine cartoons without them.,The Gold Rush,https://www.imdb.com/title/tt0015864/,movie,8.2,95,1925,"Adventure, Comedy, Drama, Family",88090,1925-06-26,Charles Chaplin
20,tt0034583,2012-03-01,2012-03-06,"The number of quotes, the song, the acting; everything about this movie is iconic American cinema.",Casablanca,https://www.imdb.com/title/tt0034583/,movie,8.5,102,1942,"Drama, Romance, War",468691,1942-11-26,Michael Curtiz
21,tt0033467,2012-03-01,2012-03-06,Rosebud.,Citizen Kane,https://www.imdb.com/title/tt0033467/,movie,8.3,119,1941,"Drama, Mystery",358113,1941-05-01,Orson Welles
22,tt0044706,2012-03-01,2012-03-06,"The shots of the clock, the song, the plot, the shot between the legs, the title.",High Noon,https://www.imdb.com/title/tt0044706/,movie,8.0,85,1952,"Action, Drama, Thriller, Western",89598,1952-05-01,Fred Zinnemann
23,tt0053291,2012-03-01,2012-03-06,"The all-too-familiar plot, ""Nobody's perfect,"" the tango scenes, and so many jokes a person will split.",Some Like It Hot,https://www.imdb.com/title/tt0053291/,movie,8.2,121,1959,"Comedy, Romance",216378,1959-03-19,Billy Wilder
24,tt0084805,2012-03-01,2012-03-01,,Tootsie,https://www.imdb.com/title/tt0084805/,movie,7.4,116,1982,"Comedy, Drama, Romance",88295,1982-12-01,Sydney Pollack
25,tt0057012,2012-03-01,2012-03-06,"The man riding a nuke, ""Gentlemen, you can't fight in here; this is the War Room,"" and one of the darkest comedies ever.",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/,movie,8.4,95,1964,Comedy,408836,1964-01-29,Stanley Kubrick
26,tt0023969,2012-03-01,2012-03-06,"The mirror gag has become a staple of American comedy, the theme for Freedonia is still used in parody, Groucho's puns have lasted the test of time, and Harpo/Chico paired up to bring us so many classic laughs.",Duck Soup,https://www.imdb.com/title/tt0023969/,movie,8.0,68,1933,"Comedy, Musical, War",51818,1933-11-12,Leo McCarey
27,tt0071230,2012-03-01,2012-03-01,,Blazing Saddles,https://www.imdb.com/title/tt0071230/,movie,7.8,93,1974,"Comedy, Western",114465,1974-02-07,Mel Brooks
28,tt0061722,2012-03-01,2012-03-06,"""Mrs. Robinson, you're trying to seduce me,"" the song, the wedding scene, the scuba scene, and the iconic seduction.",The Graduate,https://www.imdb.com/title/tt0061722/,movie,8.0,106,1967,"Comedy, Drama, Romance",235492,1967-12-21,Mike Nichols
29,tt0080339,2012-03-01,2012-03-01,,Airplane!,https://www.imdb.com/title/tt0080339/,movie,7.8,88,1980,Comedy,187720,1980-07-02,"Jim Abrahams, Jerry Zucker, David Zucker"
30,tt0045152,2012-03-01,2012-03-01,,Singin' in the Rain,https://www.imdb.com/title/tt0045152/,movie,8.3,103,1952,"Comedy, Musical, Romance",192612,1952-03-27,"Gene Kelly, Stanley Donen"
31,tt0017925,2012-03-01,2012-03-06,Sitting on the wheel lifts.,The General,https://www.imdb.com/title/tt0017925/,movie,8.2,67,1926,"Action, Adventure, Comedy, Drama, War, Western",70680,1926-12-31,"Buster Keaton, Clyde Bruckman"
32,tt0095159,2012-03-01,2012-03-01,,A Fish Called Wanda,https://www.imdb.com/title/tt0095159/,movie,7.6,108,1988,"Comedy, Crime",121307,1988-07-07,"Charles Crichton, John Cleese"
33,tt0098635,2012-03-01,2012-03-06,"""I'll have what she's having,"" a girl and guy can never be friends, ""I love how...,"" ""It had to be you.""",When Harry Met Sally...,https://www.imdb.com/title/tt0098635/,movie,7.6,95,1989,"Comedy, Drama, Romance",175048,1989-07-12,Rob Reiner
34,tt0129387,2012-03-01,2012-03-06,Hair gel.,There's Something About Mary,https://www.imdb.com/title/tt0129387/,movie,7.1,119,1998,"Comedy, Romance",272749,1998-07-15,"Bobby Farrelly, Peter Farrelly"
35,tt0087332,2012-03-01,2012-03-06,"""He slimed me,"" ghostbusters as a whole.",Ghost Busters,https://www.imdb.com/title/tt0087332/,movie,7.8,105,1984,"Action, Comedy, Fantasy",319490,1984-06-07,Ivan Reitman
36,tt0088258,2012-03-01,2012-03-06,These go to 11.,This Is Spinal Tap,https://www.imdb.com/title/tt0088258/,movie,8.0,82,1984,"Comedy, Music",118897,1984-03-02,Rob Reiner
37,tt0107048,2012-03-01,2012-03-01,,Groundhog Day,https://www.imdb.com/title/tt0107048/,movie,8.0,101,1993,"Comedy, Fantasy, Romance",534209,1993-02-04,Harold Ramis
38,tt0042546,2012-03-01,2012-03-01,,Harvey,https://www.imdb.com/title/tt0042546/,movie,8.0,104,1950,"Comedy, Drama, Fantasy",49526,1950-12-04,Henry Koster
39,tt0077975,2012-03-01,2012-03-01,,Animal House,https://www.imdb.com/title/tt0077975/,movie,7.6,109,1978,Comedy,103925,1978-07-27,John Landis
40,tt0032553,2012-03-01,2012-03-01,,The Great Dictator,https://www.imdb.com/title/tt0032553/,movie,8.5,125,1940,"Comedy, Drama, War",176629,1940-10-15,Charles Chaplin
41,tt0057193,2012-03-01,2012-03-06,A storyline used time and time again to bring together big-name stars.,It's a Mad Mad Mad Mad World,https://www.imdb.com/title/tt0057193/,movie,7.6,205,1963,"Action, Adventure, Comedy, Crime",34238,1963-11-07,Stanley Kramer
42,tt0094737,2012-03-01,2012-03-01,,Big,https://www.imdb.com/title/tt0094737/,movie,7.3,104,1988,"Comedy, Drama, Family, Fantasy, Romance",176155,1988-06-03,Penny Marshall
43,tt0069704,2012-03-01,2012-03-01,,American Graffiti,https://www.imdb.com/title/tt0069704/,movie,7.5,110,1973,"Comedy, Drama",73699,1973-08-01,George Lucas
44,tt0057413,2012-03-01,2012-03-01,,The Pink Panther,https://www.imdb.com/title/tt0057413/,movie,7.2,115,1963,"Comedy, Crime, Romance",44072,1963-12-18,Blake Edwards
45,tt0048605,2012-03-01,2012-03-06,Marilyn Monroe atop a subway vent. Enough said.,The Seven Year Itch,https://www.imdb.com/title/tt0048605/,movie,7.2,105,1955,"Comedy, Romance",30405,1955-06-01,Billy Wilder
46,tt0086960,2012-03-01,2012-03-01,,Beverly Hills Cop,https://www.imdb.com/title/tt0086960/,movie,7.3,105,1984,"Action, Comedy, Crime",147154,1984-12-01,Martin Brest
47,tt0023027,2012-03-01,2012-03-06,,Horse Feathers,https://www.imdb.com/title/tt0023027/,movie,7.7,68,1932,"Comedy, Musical, Romance, Sport",10730,1932-08-10,Norman Z. McLeod
48,tt0107614,2012-03-01,2012-03-01,,Mrs. Doubtfire,https://www.imdb.com/title/tt0107614/,movie,7.0,125,1993,"Comedy, Drama, Family",216651,1993-11-22,Chris Columbus
49,tt0080487,2012-03-01,2012-03-01,,Caddyshack,https://www.imdb.com/title/tt0080487/,movie,7.3,98,1980,"Comedy, Sport",95321,1980-07-25,Harold Ramis
50,tt0035262,2012-03-01,2012-03-06,"The ultimate ""Road"" movie, it has been parodied countless times.",Road to Morocco,https://www.imdb.com/title/tt0035262/,movie,7.3,82,1942,"Adventure, Comedy, Family, Musical, Romance",4639,1942-11-10,David Butler
51,tt0015841,2012-03-01,2012-03-01,,The Freshman,https://www.imdb.com/title/tt0015841/,movie,7.6,76,1925,"Comedy, Family, Romance, Sport",4467,1925-09-20,"Fred C. Newmeyer, Sam Taylor"
52,tt0101587,2012-03-01,2012-03-01,,City Slickers,https://www.imdb.com/title/tt0101587/,movie,6.7,113,1991,Comedy,43861,1991-06-07,Ron Underwood
53,tt0083929,2012-03-01,2012-03-01,,Fast Times at Ridgemont High,https://www.imdb.com/title/tt0083929/,movie,7.2,90,1982,"Comedy, Drama",83968,1982-08-13,Amy Heckerling
54,tt0094721,2012-03-01,2012-03-01,,Beetlejuice,https://www.imdb.com/title/tt0094721/,movie,7.5,92,1988,"Comedy, Fantasy",227769,1988-03-29,Tim Burton
55,tt0079367,2012-03-01,2012-03-01,,The Jerk,https://www.imdb.com/title/tt0079367/,movie,7.2,94,1979,Comedy,48628,1979-12-14,Carl Reiner
56,tt0116282,2012-03-01,2012-03-01,,Fargo,https://www.imdb.com/title/tt0116282/,movie,8.1,98,1996,"Crime, Drama, Thriller",553890,1996-03-08,"Ethan Coen, Joel Coen"
57,tt0024601,2012-03-01,2012-03-06,"""Well, here's another fine mess you've gotten me into.""",Sons of the Desert,https://www.imdb.com/title/tt0024601/,movie,7.7,68,1933,Comedy,6901,1933-12-29,William A. Seiter
58,tt0094812,2012-03-01,2012-03-01,,Bull Durham,https://www.imdb.com/title/tt0094812/,movie,7.1,108,1988,"Comedy, Romance, Sport",42750,1988-06-15,Ron Shelton
59,tt0057372,2012-03-01,2012-03-01,,The Nutty Professor,https://www.imdb.com/title/tt0057372/,movie,6.7,107,1963,"Comedy, Romance, Sci-Fi",14071,1963-06-04,Jerry Lewis
60,tt0070047,2012-03-01,2012-03-01,,The Exorcist,https://www.imdb.com/title/tt0070047/,movie,8.0,122,1973,Horror,326900,1973-12-26,William Friedkin
61,tt0053125,2012-03-01,2012-03-06,A fight atop Mount Rushmore and the classic cropduster scene have firmly implanted this movie into our popular culture.,North by Northwest,https://www.imdb.com/title/tt0053125/,movie,8.3,136,1959,"Adventure, Mystery, Thriller",267254,1959-07-01,Alfred Hitchcock
62,tt0102926,2012-03-02,2012-03-02,,The Silence of the Lambs,https://www.imdb.com/title/tt0102926/,movie,8.6,118,1991,"Crime, Drama, Thriller",1110539,1991-01-30,Jonathan Demme
63,tt0078748,2012-03-02,2012-03-06,"In space, no one can hear you scream. The Alien, Ripley, and the chestburster scene are staples of parody.",Alien,https://www.imdb.com/title/tt0078748/,movie,8.5,116,1979,"Horror, Sci-Fi",700943,1979-05-25,Ridley Scott
64,tt0090605,2012-03-02,2012-03-06,"""Get your hands off her, you bitch!""
Ripley became a classic heroine in this film, fighting off countless xenomorphs and utilizing the lifter suit to powerful ends.",Aliens,https://www.imdb.com/title/tt0090605/,movie,8.4,137,1986,"Action, Adventure, Sci-Fi, Thriller",591290,1986-07-14,James Cameron
65,tt0056869,2012-03-02,2012-03-06,Telephone booth attacked by seagulls. Enough said.,The Birds,https://www.imdb.com/title/tt0056869/,movie,7.7,119,1963,"Drama, Horror, Mystery, Romance",152862,1963-03-28,Alfred Hitchcock
66,tt0067116,2012-03-02,2012-03-06,The classic car chase beneath an EL.,The French Connection,https://www.imdb.com/title/tt0067116/,movie,7.8,104,1971,"Action, Crime, Drama, Thriller",98109,1971-10-07,William Friedkin
67,tt0061418,2012-03-02,2012-03-02,,Bonnie and Clyde,https://www.imdb.com/title/tt0061418/,movie,7.9,111,1967,"Action, Biography, Crime, Drama",92533,1967-08-04,Arthur Penn
68,tt0047396,2012-03-02,2012-03-02,,Rear Window,https://www.imdb.com/title/tt0047396/,movie,8.5,112,1954,"Mystery, Thriller",391736,1954-08-04,Alfred Hitchcock
69,tt0068473,2012-03-02,2012-03-02,,Deliverance,https://www.imdb.com/title/tt0068473/,movie,7.7,109,1972,"Adventure, Drama, Thriller",89916,1972-07-30,John Boorman
70,tt0052357,2012-03-02,2012-03-06,"Push-pull has been named the Hitchcock Shot because of this film. The score is classic, the plot is well known, and the opening titles are famous.",Vertigo,https://www.imdb.com/title/tt0052357/,movie,8.3,128,1958,"Mystery, Romance, Thriller",314477,1958-05-09,Alfred Hitchcock
71,tt0057115,2012-03-02,2012-03-02,,The Great Escape,https://www.imdb.com/title/tt0057115/,movie,8.2,172,1963,"Adventure, Drama, History, Thriller, War",202364,1963-06-20,John Sturges
72,tt0066921,2012-03-02,2012-03-02,,A Clockwork Orange,https://www.imdb.com/title/tt0066921/,movie,8.3,136,1971,"Crime, Drama, Sci-Fi",677491,1971-12-19,Stanley Kubrick
73,tt0075314,2012-03-02,2012-03-06,"""You talking to me?""",Taxi Driver,https://www.imdb.com/title/tt0075314/,movie,8.3,114,1976,"Crime, Drama",625372,1976-02-07,Martin Scorsese
74,tt0036775,2012-03-02,2012-03-02,,Double Indemnity,https://www.imdb.com/title/tt0036775/,movie,8.3,107,1944,"Crime, Drama, Film-Noir, Mystery, Thriller",124970,1944-07-03,Billy Wilder
75,tt0033870,2012-03-02,2012-03-06,"""The stuff that dreams are made of.""
The oft-parodied title.",The Maltese Falcon,https://www.imdb.com/title/tt0033870/,movie,8.1,100,1941,"Film-Noir, Mystery",138732,1941-10-03,John Huston
76,tt0093010,2012-03-02,2012-03-02,,Fatal Attraction,https://www.imdb.com/title/tt0093010/,movie,6.9,119,1987,"Drama, Thriller",66224,1987-09-16,Adrian Lyne
77,tt0081505,2012-03-02,2012-03-06,"""Here's Johnny!""
REDRUM
""All work and no play makes Jack a dull boy.""",The Shining,https://www.imdb.com/title/tt0081505/,movie,8.4,146,1980,"Drama, Horror",765688,1980-05-23,Stanley Kubrick
78,tt0077416,2012-03-02,2012-03-06,Russian Roulette scene. Enough said.,The Deer Hunter,https://www.imdb.com/title/tt0077416/,movie,8.1,183,1978,"Drama, War",280894,1978-12-08,Michael Cimino
79,tt0075860,2012-03-02,2012-03-02,,Close Encounters of the Third Kind,https://www.imdb.com/title/tt0075860/,movie,7.7,138,1977,"Drama, Sci-Fi",165312,1977-11-15,Steven Spielberg
80,tt0106977,2012-03-02,2012-03-06,"""I didn't kill my wife!"" ""I don't care!""",The Fugitive,https://www.imdb.com/title/tt0106977/,movie,7.8,130,1993,"Action, Crime, Drama, Mystery, Thriller",242291,1993-07-29,Andrew Davis
81,tt0048424,2012-03-02,2012-03-06,LOVE and HATE tattoos.,The Night of the Hunter,https://www.imdb.com/title/tt0048424/,movie,8.0,92,1955,"Crime, Drama, Film-Noir, Thriller",74314,1955-07-26,Charles Laughton
82,tt0107290,2012-03-02,2012-03-02,,Jurassic Park,https://www.imdb.com/title/tt0107290/,movie,8.1,127,1993,"Adventure, Sci-Fi, Thriller",769860,1993-06-09,Steven Spielberg
83,tt0062765,2012-03-02,2012-03-06,The outfit and the car chase through San Francisco are classics.,Bullitt,https://www.imdb.com/title/tt0062765/,movie,7.5,114,1968,"Action, Crime, Mystery, Thriller",54597,1968-10-17,Peter Yates
84,tt0095016,2012-03-02,2012-03-06,"""Yippee-kiy-ay, *beep*
John McClain
Hans Gruber",Die Hard,https://www.imdb.com/title/tt0095016/,movie,8.2,132,1988,"Action, Thriller",710281,1988-07-12,John McTiernan
85,tt0066999,2012-03-02,2012-03-06,"""Do I feel lucky?""",Dirty Harry,https://www.imdb.com/title/tt0066999/,movie,7.8,102,1971,"Action, Crime, Thriller",130577,1971-12-21,Don Siegel
86,tt0088247,2012-03-02,2012-03-06,"""I'll be back.""
The terminator
Skynet",The Terminator,https://www.imdb.com/title/tt0088247/,movie,8.0,107,1984,"Action, Sci-Fi",718415,1984-10-26,James Cameron
87,tt0120815,2012-03-02,2012-03-02,,Saving Private Ryan,https://www.imdb.com/title/tt0120815/,movie,8.6,169,1998,"Drama, War",1088675,1998-07-21,Steven Spielberg
88,tt0074285,2012-03-02,2012-03-06,"Blood on prom queen, the hand coming out of the grave.",Carrie,https://www.imdb.com/title/tt0074285/,movie,7.4,98,1976,Horror,149584,1976-11-03,Brian De Palma
89,tt0049366,2012-03-02,2012-03-02,,Invasion of the Body Snatchers,https://www.imdb.com/title/tt0049366/,movie,7.8,80,1956,"Drama, Horror, Sci-Fi",40139,1956-02-05,Don Siegel
90,tt0046912,2012-03-02,2012-03-06,The title.,Dial M for Murder,https://www.imdb.com/title/tt0046912/,movie,8.2,105,1954,"Crime, Thriller",138443,1954-05-19,Alfred Hitchcock
91,tt0052618,2012-03-02,2012-03-06,The chariot race.,Ben-Hur,https://www.imdb.com/title/tt0052618/,movie,8.1,212,1959,"Adventure, Drama, History",198837,1959-11-18,William Wyler
92,tt0075148,2012-03-02,2012-03-06,"""Flying high now,"" montage, punching meat, ""Yo, Adrian!""
The character.",Rocky,https://www.imdb.com/title/tt0075148/,movie,8.1,120,1976,"Drama, Sport",465285,1976-11-20,John G. Avildsen
93,tt0110912,2012-03-02,2012-03-06,"Royale with cheese, English *beep* the gimp, the music, the outfits.",Pulp Fiction,https://www.imdb.com/title/tt0110912/,movie,8.9,154,1994,"Crime, Drama",1609972,1994-05-21,Quentin Tarantino
94,tt0050212,2012-03-06,2012-03-06,Colonel Bogey's March,The Bridge on the River Kwai,https://www.imdb.com/title/tt0050212/,movie,8.2,161,1957,"Adventure, Drama, War",183929,1957-10-02,David Lean
95,tt0063442,2012-03-06,2012-03-06,"It was Earth all along, ""Get your stinking paws off me, you damned dirty ape!""",Planet of the Apes,https://www.imdb.com/title/tt0063442/,movie,8.0,112,1968,"Adventure, Sci-Fi",154659,1968-02-08,Franklin J. Schaffner
96,tt0167404,2012-03-06,2012-03-06,"""I see dead people,"" greatest spoiler ever.",The Sixth Sense,https://www.imdb.com/title/tt0167404/,movie,8.1,107,1999,"Drama, Mystery, Thriller",833296,1999-08-02,M. Night Shyamalan
97,tt0055824,2012-03-06,2012-03-06,The title and the plot.,Cape Fear,https://www.imdb.com/title/tt0055824/,movie,7.8,106,1962,"Drama, Thriller",23588,1962-04-12,J. Lee Thompson
98,tt0054331,2012-03-06,2012-03-06,I am Spartacus,Spartacus,https://www.imdb.com/title/tt0054331/,movie,7.9,197,1960,"Adventure, Biography, Drama, History, War",111906,1960-10-06,Stanley Kubrick
99,tt0061578,2012-03-06,2012-03-06,The title and the music.,The Dirty Dozen,https://www.imdb.com/title/tt0061578/,movie,7.8,150,1967,"Action, Adventure, War",60974,1967-06-15,Robert Aldrich
100,tt0133093,2012-03-06,2012-03-06,"Bullet time, red/blue pill, the title, Neo, costumes",The Matrix,https://www.imdb.com/title/tt0133093/,movie,8.7,136,1999,"Action, Sci-Fi",1479243,1999-03-24,"Lilly Wachowski, Lana Wachowski"
101,tt0040897,2012-03-06,2012-03-06,"The titles, ""Badges?""",The Treasure of the Sierra Madre,https://www.imdb.com/title/tt0040897/,movie,8.2,126,1948,"Adventure, Drama, Western",100197,1948-01-15,John Huston
102,tt0077651,2012-03-06,2012-03-06,"It brought back the slasher film, Michael Myers, the score, and mask.",Halloween,https://www.imdb.com/title/tt0077651/,movie,7.8,91,1978,"Horror, Thriller",202290,1978-10-25,John Carpenter
103,tt0065214,2012-03-06,2012-03-06,The title.,The Wild Bunch,https://www.imdb.com/title/tt0065214/,movie,8.0,135,1969,"Action, Adventure, Western",71279,1969-06-18,Sam Peckinpah
104,tt0058150,2012-03-06,2012-03-06,"Oddjob, ""Vodka Martini, shaken, not stirred,"" Goldfinger, the theme song, the gold-painted girl, Fort Knox being blown up, the Aston Martin.",Goldfinger,https://www.imdb.com/title/tt0058150/,movie,7.7,110,1964,"Action, Adventure, Thriller",156998,1964-09-17,Guy Hamilton
105,tt0059800,2012-03-06,2012-03-06,"SPECTRE, Blofeld, holding the world hostage, fighting a crossdresser, underwater fight, and gadgets.",Thunderball,https://www.imdb.com/title/tt0059800/,movie,7.0,130,1965,"Action, Adventure, Thriller",94221,1965-12-09,Terence Young
106,tt0055928,2012-03-06,2012-03-06,"The theme song, ""Bond, James Bond,"" and Dr. No.",Dr. No,https://www.imdb.com/title/tt0055928/,movie,7.3,110,1962,"Action, Adventure, Thriller",132715,1962-10-05,Terence Young
107,tt0091763,2012-03-06,2012-03-06,Falling down to Adagio for Strings.,Platoon,https://www.imdb.com/title/tt0091763/,movie,8.1,120,1986,"Drama, War",347194,1986-12-19,Oliver Stone
108,tt0083658,2012-03-06,2012-03-06,,Blade Runner,https://www.imdb.com/title/tt0083658/,movie,8.2,117,1982,"Sci-Fi, Thriller",618179,1982-06-25,Ridley Scott
109,tt0041959,2012-03-06,2012-03-06,,The Third Man,https://www.imdb.com/title/tt0041959/,movie,8.2,104,1949,"Film-Noir, Mystery, Thriller",141363,1949-09-01,Carol Reed
110,tt0103074,2012-03-06,2012-03-06,Driving off the cliff.,Thelma & Louise,https://www.imdb.com/title/tt0103074/,movie,7.4,130,1991,"Adventure, Crime, Drama",120136,1991-05-20,Ridley Scott
111,tt0103064,2012-03-06,2012-03-06,"""Hasta la vista, baby!""
T-1000
John Connors",Terminator 2: Judgment Day,https://www.imdb.com/title/tt0103064/,movie,8.5,137,1991,"Action, Sci-Fi",892372,1991-07-01,James Cameron
112,tt0054047,2012-03-06,2012-03-06,"The score, the title.",The Magnificent Seven,https://www.imdb.com/title/tt0054047/,movie,7.8,128,1960,"Action, Adventure, Western",79917,1960-10-12,John Sturges
113,tt0075005,2012-03-06,2012-03-06,"Damien, the score, the song, the title.",The Omen,https://www.imdb.com/title/tt0075005/,movie,7.6,111,1976,Horror,96267,1976-06-25,Richard Donner
114,tt0043456,2012-03-06,2012-03-06,Klaat baradu nikto. The title. The Alien.,The Day the Earth Stood Still,https://www.imdb.com/title/tt0043456/,movie,7.8,92,1951,"Drama, Sci-Fi",71596,1951-09-18,Robert Wise
115,tt0084516,2012-03-06,2012-03-06,"""They're here!""
Built on an indian grave.",Poltergeist,https://www.imdb.com/title/tt0084516/,movie,7.4,114,1982,"Horror, Thriller",127177,1982-06-04,Tobe Hooper
116,tt0044121,2012-03-06,2012-03-06,Watch the skies.,The Thing from Another World,https://www.imdb.com/title/tt0044121/,movie,7.2,87,1951,"Horror, Sci-Fi",22585,1951-04-06,"Christian Nyby, Howard Hawks"
117,tt0050083,2012-03-06,2012-03-06,The title.,12 Angry Men,https://www.imdb.com/title/tt0050083/,movie,8.9,96,1957,Drama,581042,1957-04-10,Sidney Lumet
118,tt0069113,2012-03-06,2012-03-06,,The Poseidon Adventure,https://www.imdb.com/title/tt0069113/,movie,7.1,117,1972,"Action, Adventure, Drama, Thriller",37406,1972-12-12,Ronald Neame
119,tt0112573,2012-03-06,2012-03-06,,Braveheart,https://www.imdb.com/title/tt0112573/,movie,8.4,178,1995,"Biography, Drama, History, War",879943,1995-05-18,Mel Gibson
120,tt0063350,2012-03-06,2012-03-06,,Night of the Living Dead,https://www.imdb.com/title/tt0063350/,movie,7.9,96,1968,Horror,103762,1968-10-01,George A. Romero
